arrival_city_name_persian,arrival_time,capacity,company_name,departure_city_name_persian,departure_date,departure_date_YMD_format,departure_time,flying_class,flying_number,flying_type,national_arrival_code,national_departure_code,ticket_id,ticket_price_T
,,9,Iranair,,یکشنبه 02 مهر,,09:10,Y,311,,AWZ,THR,7,"1,207,000"
,,9,Pouya,,سه شنبه 31 مرداد,,07:15,ERJY,2348,,BND,THR,37,"1,650,701"
,,2,Pouya,,سه شنبه 31 مرداد,,07:15,Y,2348,,BND,THR,38,"1,696,700"
,,4,Pars,,جمعه 27 مرداد,,06:15,CRJ200VE,4492,,AKW,THR,39,"1,649,000"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,09:05,100A,1220,با ضمانت,BND,THR,32,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,09:05,100A,1220,با ضمانت,BND,THR,31,"1,653,730"
یزد,,5,Iranair,تهران,سه شنبه 31 مرداد,1402/05/31,21:20,A319-100J,298,با ضمانت-سیستمی بیزنس,AZD,THR,30,"1,608,500"
یزد,23:10,1,Aseman,تهران,سه شنبه 31 مرداد,1402/05/31,21:55,100Y,3724,با ضمانت,AZD,THR,29,"1,010,700"
یزد,23:10,1,Aseman,تهران,سه شنبه 31 مرداد,1402/05/31,21:55,100Y,3724,با ضمانت-سیستمی,AZD,THR,28,"1,009,900"
یزد,,موجود,Iranair,تهران,سه شنبه 31 مرداد,1402/05/31,21:20,A319-100Y,298,با ضمانت-سیستمی,AZD,THR,27,"1,008,500"
,,9,Pouya,,یکشنبه 29 مرداد,,07:00,ERJY,2348,,BND,THR,45,"1,650,701"
,,3,Pouya,,جمعه 27 مرداد,,07:05,Y,2348,,BND,THR,46,"1,696,700"
بندرعباس,08:00,9,Aseman,تهران,سه شنبه 31 مرداد,1402/05/31,06:10,100Y,644,با ضمانت,BND,THR,36,"1,687,866"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 15 شهریور,1402/06/15,17:35,100A,1220,با ضمانت,BND,THR,35,"1,653,730"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 15 شهریور,1402/06/15,17:35,100A,1220,با ضمانت,BND,THR,34,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 30 شهریور,1402/06/30,14:15,100A,1220,با ضمانت,BND,THR,33,"1,653,730"
بندرعباس,21:50,9,Zagros,تهران,سه شنبه 24 مرداد,1402/05/24,19:55,MD8TOR,4019,با ضمانت-خدمات گردشگری,BND,THR,54,"2,107,800"
بندرعباس,20:45,موجود,Varesh,تهران,سه شنبه 24 مرداد,1402/05/24,19:05,735TOR,5814,با ضمانت-خدمات گردشگری,BND,THR,53,"2,107,800"
بندرعباس,07:40,1,Mahan,تهران,چهارشنبه 25 مرداد,1402/05/25,05:45,AB310-MNX-DOMC_D,1095,با ضمانت-سیستمی بیزنس,BND,THR,52,"3,257,800"
بندرعباس,21:55,موجود,Zagros,تهران,چهارشنبه 25 مرداد,1402/05/25,20:00,MD8TOR,4019,با ضمانت-خدمات گردشگری,BND,THR,51,"2,107,800"
بندرعباس,20:45,موجود,Varesh,تهران,چهارشنبه 25 مرداد,1402/05/25,19:05,735TOR,5814,با ضمانت-خدمات گردشگری,BND,THR,50,"2,107,800"
بندرعباس,10:20,موجود,ATA,تهران,چهارشنبه 25 مرداد,1402/05/25,08:30,733TOR,5681,با ضمانت-خدمات گردشگری,BND,THR,49,"2,107,800"
بندرعباس,07:15,موجود,Varesh,تهران,چهارشنبه 25 مرداد,1402/05/25,05:30,735TOR,5816,با ضمانت-خدمات گردشگری,BND,THR,48,"2,107,800"
بندرعباس,06:25,موجود,Zagros,تهران,چهارشنبه 25 مرداد,1402/05/25,04:30,MD8TOR,4059,با ضمانت-خدمات گردشگری,BND,THR,47,"2,107,800"
بندرعباس,16:00,9,Qeshm,تهران,دوشنبه 13 شهریور,1402/06/13,14:15,100A,1220,با ضمانت,BND,THR,65,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,دوشنبه 13 شهریور,1402/06/13,14:15,100A,1220,با ضمانت,BND,THR,64,"1,653,730"
بندرعباس,10:20,9,ATA,تهران,چهارشنبه 18 مرداد,1402/05/18,08:30,M83TOR,5681,با ضمانت-خدمات گردشگری,BND,THR,63,"2,107,800"
بندرعباس,21:55,2,Zagros,تهران,یکشنبه 22 مرداد,1402/05/22,20:00,MD8TOR,4019,با ضمانت-خدمات گردشگری,BND,THR,62,"2,107,800"
بندرعباس,20:45,موجود,Varesh,تهران,یکشنبه 22 مرداد,1402/05/22,18:55,735TOR,5814,با ضمانت-خدمات گردشگری,BND,THR,61,"2,107,800"
بندرعباس,07:15,9,Varesh,تهران,یکشنبه 22 مرداد,1402/05/22,05:35,735TOR,5816,با ضمانت-خدمات گردشگری,BND,THR,60,"2,107,800"
بندرعباس,06:25,موجود,Zagros,تهران,یکشنبه 22 مرداد,1402/05/22,04:30,MD8TOR,4059,با ضمانت-خدمات گردشگری,BND,THR,59,"2,107,800"
بندرعباس,06:25,موجود,Zagros,تهران,یکشنبه 22 مرداد,1402/05/22,04:30,MD8TOR,4059,با ضمانت-خدمات گردشگری,BND,THR,58,"2,035,800"
بندرعباس,14:00,موجود,Varesh,تهران,دوشنبه 23 مرداد,1402/05/23,12:30,735TOR,5814,با ضمانت-خدمات گردشگری,BND,THR,57,"2,107,800"
بندرعباس,10:20,موجود,ATA,تهران,دوشنبه 23 مرداد,1402/05/23,08:30,733TOR,5681,با ضمانت-خدمات گردشگری,BND,THR,56,"2,107,800"
بندرعباس,07:15,موجود,Varesh,تهران,دوشنبه 23 مرداد,1402/05/23,05:35,735TOR,5816,با ضمانت-خدمات گردشگری,BND,THR,55,"2,107,800"
